Código,Nome,UF
160184,10 ESQUADRAO DE CAVALARIA MECANIZADO,PE
160043,10 GRUPO DE ARTILHARIA DE CAMPANHA DE SELVA,RR
160549,10 INSPETORIA DE CONTABILIDADE E FINANÇAS,CE
167133,10 REGIMENTO DE CAVALARIA MECANIZADO,MS
167023,10. COMPANHIA DE ENGENHARIA DE COMBATE,PE
167049,10. DEPOSITO DE SUPRIMENTO,CE
160049,10. DEPOSITO DE SUPRIMENTO/MEX - CE,CE
926024,10º CENTRO REGIONAL DE SAÚDE,PA
160023,10A. COMPANHIA DE ENGENHARIA DE COMBATE,PE
160107,11 CIRCUNSCRICAO DE SERVICO MILITAR,MG
167107,11 CIRCUNSCRICAO DE SERVICO MILITAR,MG
167053,11 GRUPO DE ARTILHARIA ANTIAEREA,DF
160053,11 GRUPO DE ARTILHARIA ANTIAEREA-MEX/DF,DF
167263,11 GRUPO DE ARTILHARIA DE CAMPANHA,RJ
160263,11 GRUPO DE ARTILHARIA DE CAMPANHA/RJ,RJ
160054,11 INSPETORIA DE CONTABIL.E FINANCAS-MEX/DF,DF
167152,11 REGIMENTO DE CAVALARIA MECANIZADO,MS
167072,11. DEPOSITO DE SUPRIMENTO,DF
160072,11. DEPOSITO DE SUPRIMENTOS-MEX/DF,DF
160126,11.BATALHAO DE INFANTARIA DE MONTANHA,MG
167126,11.BATALHAO DE INFANTARIA DE MONTANHA,MG
926457,11º CENTRO REGIONAL DE SAÚDE,PA
167264,111 COMPANHIA DE APOIO DE MATERIAL BELICO,RJ
160264,111 COMPANHIA DE APOIO DE MATERIAL BELICO/RJ,RJ
167356,12 BATALHAO DE ENGENHARIA DE COMBATE,RS
160356,12 BATALHAO DE ENGENHARIA DE COMBATE/RS,RS
167108,12 BATALHAO DE INFANTARIA,MG
160108,12 BATALHAO DE INFANTARIA,MG
160115,12 CIRCUNSCRICAO DE SERVICO MILITAR,MG
167115,12 CIRCUNSCRICAO DE SERVICO MILITAR,MG
167357,12 COMPANHIA DE COMUNICACOES,RS
160357,12 COMPANHIA DE COMUNICACOES,RS
160470,12 GRUPO DE ARTILHARIA DE CAMPANHA,SP
167470,12 GRUPO DE ARTILHARIA DE CAMPANHA,SP
160544,12 INSPETORIA DE CONT.FINANCAS DO EXERCITO/AM,AM
167009,12 INSPETORIA DE CONTAB.FINANCAS DO EXERCITO,AM
160009,12 INSPETORIA DE CONTAB.FINANCAS/MEX/AM,AM
167383,12 REGIMENTO DE CAVALARIA MECANIZADO,RS
160383,12 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS
167018,12. BATALHAO DE SUPRIMENTO,AM
160018,12. BATALHAO DE SUPRIMENTO/MEX/AM,AM
926044,12º CENTRO REGIONAL DE SAÚDE,PA
160232,13 BATALHAO DE INFANTARIA BLINDADO,PR
167232,13 BATALHAO DE INFANTARIA BLINDADO,PR
167128,13 CIRCUNSCRICAO DE SERVICO MILITAR,MG
160128,13 CIRCUNSCRICAO DE SERVICO MILITAR,MG
167429,13 COMPANHIA DE COMUNICACOES,RS
160429,13 COMPANHIA DE COMUNICACOES/RS,RS
167406,13 COMPANHIA DEPOSITO ARMAMENTO E MUNICAO,RS
160406,13 COMPANHIA DEPOSITO ARMAMENTO E MUNICAO/RS,RS
167366,13 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160366,13 GRUPO DE ATILHARIA DE CAMPANHA/RS,RS
160478,13 REGIMENTO DE CAVALARIA MECANIZADO,SP
80005,13.REG.TRIBUNAL REGIONAL DO TRABALHO/PB,PB
167178,14 BATALHAO DE INFANTARIA MOTORIZADO,PE
160178,14 BATALHAO DE INFANTARIA MOTORIZADO,PE
160185,14 BATALHAO LOGISTICO,PE
167185,14 BATALHAO LOGISTICO,PE
160499,14 CIRCUNSCRICAO DE SERVICO MILITAR,SP
167499,14 CIRCUNSCRICAO DE SERVICO MILITAR,SP
167123,14 GRUPO DE ARTILHARIA DE CAMPANHA,MG
160123,14 GRUPO DE ARTILHARIA DE CAMPANHA,MG
160450,14 REGIMENTO DE CAVALARIA MECANIZADA,SC
167450,14 REGIMENTO DE CAVALARIA MECANIZADO,SC
273017,14.DISTRITO RODOVIARIO FEDERAL,RN
167174,15 BATALHAO DE INFANTARIA MOTORIZADO,PB
160524,15 BATALHAO LOGISTICO,PR
167524,15 BATALHAO LOGISTICO,PR
160210,15 CIRCUNSCRICAO DE SERVICO MILITAR,PR
160230,15 COMPANHIA DE ENGENHARIA DE COMBATE,PR
167230,15 COMPANHIA DE ENGENHARIA DE COMBATE,PR
167229,15 GRUPO DE ART.DE CAMP.AUTOPROPULSADO-15 GAC,PR
160229,15 GRUPO DE ARTILHARIA DE CAMP.AUTOPROPULSADO,PR
167265,15 REGIMENTO DE CAVALARIA MECANIZADA,RJ
160265,15 REGIMENTO DE CAVALARIA MECANIZADA/RJ,RJ
160174,15.BATALHAO DE INFANTARIA MOTORIZADO/PB,PB
160209,15ª BRIGADA DE INFANTARIA MECANIZADA,PR
167209,15ª BRIGADA DE INFANTARIA MECANIZADA,PR
167227,15ª COMPANHIA DE INFANTARIA MECANIZADA,PR
160227,15ª COMPANHIA DE INFANTARIA MECANIZADO,PR
343029,15ª SUPERINTENDENCIA REGIONAL,DF
167340,16 BATALHAO DE INFANTARIA MOTORIZADO,RN
160340,16 BATALHAO DE INFANTARIA MOTORIZADO,RN
167055,16 BATALHAO LOGISTICO,DF
160055,16 BATALHAO LOGISTICO- MEX/DF,DF
160442,16 CIRCUNSCRICAO DE SERVICO MILITAR,SC
167432,16 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160432,16 GRUPO DE ARTILHARIA DE CAMPANHA/RS,RS
167172,16 REGIMENTO DE CAVALARIA MECANIZADO,PB
167378,16. ESQUADRAO DE CAVALARIA MECANIZADA,PR
273126,16.DISTRITO RODOVIARIO FEDERAL,SC
160378,16º ESQUADRAO DE CAVALARIA MECANIZADO/PR,PR
160025,16A BASE LOGISTICA/MEX/AM,AM
343037,16A SUPERINTENDENCIA REGIONAL/RO,RO
167145,17 BATALHAO DE FRONTEIRA,MS
167116,17 BATALHAO LOGISTICO,MG
160116,17 BATALHAO LOGISTICO,MG
160032,17 CIRCUNSCRICAO DE SERVICO MILITAR,BA
167032,17 CIRCUNSCRICAO DE SERVICO MILITAR,BA
160341,17 GRUPO DE ARTILHARIA DE CAMPANHA,RN
167341,17 GRUPO DE ARTILHARIA DE CAMPANHA,RN
167131,17 REGIMENTO DE CAVALARIA MECANIZADO,MS
160145,17. BATALHAO DE FRONTEIRA-MEX,MS
167350,17A BASE LOGISTICA,RO
160350,17A BASE LOGISTICA-MEX/RO,RO
343035,17A SUPERINTENDENCIA REGIONAL,AL
167384,18 BATALHAO DE INFANTARIA MOTORIZADO,RS
160384,18 BATALHAO DE INFANTARIA MOTORIZADO/RS,RS
167029,18 CIRCUNSCRICAO DE SERVICO MILITAR,BA
160029,18 CIRCUNSCRICAO DE SERVICO MILITAR,BA
167159,18 GRUPO DE ARTILHARIA DE CAMPANHA,MT
160159,18 GRUPO DE ARTILHARIA DE CAMPANHA-MEX/MT,MT
273007,18.DISTRITO RODOVIARIO FEDERAL,PI
343034,18ª SUPERINTENDENCIA REGIONAL DO IPHAN,MS
160136,18º BATALHãO DE TRANSPORTE,MS
167136,18º BATALHãO DE TRASNPORTE,MS
400001,18A SUPERINTENDENCIA REGIONAL/MS,MS
167033,19 BATALHAO DE CACADORES,BA
160033,19 BATALHAO DE CACADORES,BA
167433,19 BATALHAO DE INFANTARIA MOTORIZADO,RS
160433,19 BATALHAO DE INFANTARIA MOTORIZADO/RS,RS
167266,19 BATALHAO LOGISTICO,RJ
160266,19 BATALHAO LOGISTICO/RJ,RJ
167453,19 CIRCUNSCRICAO DE SERVICO MILITAR,SE
167420,19 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160420,19 GRUPO DE ARTILHARIA DE CAMPANHA/RS,RS
167418,19 REGIMENTO DE CAVALARIA MECANIZADO,RS
160418,19 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS
343036,19ª SUPERINTENDENCIA REGIONAL,PI
160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,RR
240001,1A.COMISSAO BRASILEIRA DEMARCADORA DE LIMITES,PA
167155,2 BATALHAO DE FRONTEIRA,MT
167498,2 BATALHAO DE CACADORES,SP
167477,2 BATALHAO DE ENGENHARIA DE COMBATE,SP
160477,2 BATALHAO DE ENGENHARIA DE COMBATE,SP
167203,2 BATALHAO DE ENGENHARIA DE CONSTRUCAO,PI
160203,2 BATALHAO DE ENGENHARIA DE CONSTRUCAO,PI
160155,2 BATALHAO DE FRONTEIRA,MT
160161,2 BATALHAO DE INFANTARIA DE SELVA,PA
167161,2 BATALHAO DE INFANTARIA DE SELVA,PA
160498,2 BATALHAO DE INFANTARIA LEVE,SP
167267,2 BATALHAO DE INFANTARIA MOTORIZADO (ES),RJ
160267,2 BATALHAO DE INFANTARIA MOTORIZADO(ES)-RJ,RJ
160484,2 BATALHAO DE POLICIA DO EXERCITO,SP
167484,2 BATALHAO DE POLICIA DO EXERCITO,SP
167106,2 BATALHAO FERROVIARIO,MG
160106,2 BATALHAO FERROVIáRIO,MG
160463,2 BATALHAO LOGISTICO,SP
167434,2 BATERIA DE ARTILHARIA ANTIAEREA,RS
160434,2 BATERIA DE ARTILHARIA ANTIAEREA/RS,RS
167268,2 CIRCUNSCRICAO DE SERVICO MILITAR,RJ
160268,2 CIRCUNSCRICAO DE SERVICO MILITAR/RJ,RJ
167153,2 COMPANHIA DE FRONTEIRA,MS
160469,2 GRUPO ARTILHARIA CAMPANHA AUTOPROPULSADO,SP
167469,2 GRUPO ARTILHARIA CAMPANHA AUTOPROPULSADO,SP
167473,2 GRUPO DE ARTILHARIA ANTIAEREA,SP
160473,2 GRUPO DE ARTILHARIA ANTIAEREA,SP
160497,2 INSPETORIA DE CONTABILIDADE E FINANCAS,SP
167497,2 INSPETORIA DE CONTABILIDADE E FINANCAS,SP
160541,2 INSPETORIA DE CONTABILIDADE E FINANCAS - SP,SP
167478,2 REGIMENTO DE CARROS DE COMBATE,SP
160270,2 REGIMENTO DE CAVALARIA DE GUARDA/RJ,RJ
167428,2 REGIMENTO DE CAVALARIA MECANIZADO,RS
160428,2 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS
795130,2.BATALHAO DE INFANTARIA DE FUZILEIROS NAVAIS,RJ
167236,2ª COMPANHIA DE INFATANRIA,RJ
160236,2ª COMPANHIA DE INFATANRIA,RJ
273001,2ª UNIDADE DE INFRA-ESTRUTURA TERRESTRE,PA
167463,2º BATALHÃO LOGÍSTICO LEVE,SP
167056,2º CENTRO DE GEINFORMAÇÃO,DF
160056,2º CENTRO DE GEOINFORMAÇÃO,DF
926025,2º CENTRO REGIONAL DE SAÚDE,PA
926709,2º OFÍCIO JUDICIAL DA COMARCA DE TRAEMEMBÉ,SP
160211,20 BATALHAO DE INFANTARIA BLINDADO,PR
167211,20 BATALHAO DE INFANTARIA BLINDADO,PR
167003,20 CIRCUNSCRICAO DE SERVICO MILITAR,AL
160003,20 CIRCUNSCRICAO DE SERVICO MILITAR/AL,AL
160455,20 GRUPO DE ARTILHARIA DE CAMPANHA,SP
167455,20 GRUPO DE ARTILHARIA DE CAMPANHA,SP
167512,20 REGIMENTO DE CAVALARIA BLINDADO,MS
273037,20.DISTRITO RODOVIARIO FEDERAL/DNER/AL,AL
167271,21 BATALHAO LOGISTICO,RJ
160271,21 BATALHAO LOGISTICO/RJ,RJ
167187,21 CIRCUNSCRICAO DE SERVICO MILITAR,PE
160187,21 CIRCUNSCRICAO DE SERVICO MILITAR,PE
167272,21 GRUPO DE ARTILHARIA CAMPANHA,RJ
160272,21 GRUPO DE ARTILHARIA CAMPANHA/RJ,RJ
160494,21.DEPOSITO DE SUPRIMENTO,SP
167494,21.DEPOSITO DE SUPRIMENTO,SP
160022,21ª COMPANHIA DE ENGENHARIA DE CONSTRUCAO,AM
343033,21A SUPERINTENDENCIA REGIONAL - ES,ES
167547,22 BATALHAO DE INFANTARIA,TO
160456,22 BATALHAO LOGISTICO,SP
167456,22 BATALHAO LOGISTICO LEVE,SP
167436,22 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160436,22 GRUPO DE ARTILHARIA DE CAMPANHA/RS,RS
160476,22.DEPOSITO DE SUPRIMENTO,SP
167476,22.DEPOSITO DE SUPRIMENTO,SP
160547,22º BATALHãO DE INFANTARIA,TO
273088,22º DISTRITO RODOVIARIO FEDERAL - RO,RO
167044,23 BATALHAO DE CACADORES,CE
160044,23 BATALHAO DE CACADORES/MEX - CE,CE
167440,23 BATALHAO DE INFANTARIA,SC
160440,23 BATALHAO DE INFANTARIA - SC,SC
160520,23 BATALHAO LOGISTICO DE SELVA,PA
167520,23 BATALHAO LOGISTICO DE SELVA,PA
167175,23 CIRCUNSCRICAO DE SERVICO MILITAR,PB
167101,23 COMPANHIA DE ENGENHARIA DE COMBATE,GO
160101,23 COMPANHIA DE ENGENHARIA DE COMBATE-MEX/GO,GO
160081,23 ESQUADRAO DE CAVALARIA DE SELVA,PA
167081,23 ESQUADRAO DE CAVALARIA DE SELVA,PA
926660,23ª VARA FEDERAL DE GARANHUNS,PE
167105,24 BATALHAO DE CACADORES,MA
167273,24 BATALHAO DE INFANTARIA BLINDADO,RJ
160273,24 BATALHAO DE INFANTARIA BLINDADO/RJ,RJ
160342,24 CIRCUNSCRICAO DE SERVICO MILITAR,RN
167342,24 CIRCUNSCRICAO DE SERVICO MILITAR,RN
160105,24º BATALHÃO DE INFANTARIA DE SELVA,MA
160204,25 BATALHAO DE CACADORES,PI
167204,25 BATALHAO DE CACADORES,PI
167274,25 BATALHAO LOGISTICO (ES),RJ
160274,25 BATALHAO LOGISTICO(ES)-RJ,RJ
167045,25 CIRCUNSCRICAO DE SERVICO MILITAR,CE
160045,25 CIRCUNSCRICAO DE SERVICO MILITAR/MEX - CE,CE
167361,25 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160361,25 GRUPO DE ARTILHARIA DE CAMPANHA/RS,RS
167205,26 CIRCUNSCRICAO DE SERVICO MILITAR,PI
160205,26 CIRCUNSCRICAO DE SERVICO MILITAR,PI
160228,26 GRUPO DE ARTILHARIA DE CAMPANHA,PR
167228,26 GRUPO DE ARTILHARIA DE CAMPANHA,PR
167212,27 BATALHAO LOGISTICO,PR
160212,27 BATALHAO LOGISTICO,PR
167104,27 CIRCUNSCRICAO DE SERVICO MILITAR,MA
167375,27 GRUPO DE ARTILHARIA DE CAMPANHA,RS
160375,27 GRUPO DE ARTILHARIA DE CAMPANHA/RS,RS
167454,28 BATALHAO DE CACADORES,SE
160465,28 BATALHAO DE INFANTARIA BLINDADO,SP
167522,28 BATALHAO LOGISITICO,MS
160522,28 BATALHAO LOGISTICO MECANIZADO,MS
167162,28 CIRCUNSCRICAO DE SERVICO MILITAR,PA
160162,28 CIRCUNSCRICAO DE SERVICO MILITAR,PA
167441,28 GRUPO DE ARTILHARIA DE CAMPANHA,SC
160441,28 GRUPO DE ARTILHARIA DE CAMPANHA-MEX/SC,SC
167407,29 BATALHAO DE INFANTARIA BLINDADO,RS
160407,29 BATALHAO DE INFANTARIA BLINDADO/RS,RS
167010,29 CIRCUNSCRICAO DE SERVICO MILITAR,AM
160010,29 CIRCUNSCRICAO DE SERVICO MILITAR/MEX/AM,AM
167371,29 GRUPO DE ARTILHARIA DE C.AUTO PROPULSADO,RS
160371,29 GRUPO DE ARTILHARIA DE CAMPANHA,RS
100002,2A.CIRCUNSCRICAO JUDICIARIA,RR
240002,2A.COMISSAO BRASILEIRA DEMARCADORA DE LIMITES,RJ
167385,3 BATALHAO DE COMUNICACOES DO EXERCITO,RS
160385,3 BATALHAO DE COMUNICACOES DO EXERCITO/RS,RS
167367,3 BATALHAO DE ENGENHARIA DE COMBATE,RS
160367,3 BATALHAO DE ENGENHARIA DE COMBATE/RS,RS
167202,3 BATALHAO DE ENGENHARIA DE CONSTRUCAO,PI
160202,3 BATALHAO DE ENGENHARIA DE CONSTRUCAO,PI
167337,3 BATALHAO DE INFANTARIA,RJ
160337,3 BATALHAO DE INFANTARIA/RJ,RJ
167386,3 BATALHAO DE POLICIA DO EXERCITO,RS
160386,3 BATALHAO DE POLICIA DO EXERCITO/RS,RS
167368,3 BATALHAO DE SUPRIMENTO,RS
160368,3 BATALHAO DE SUPRIMENTO/RS,RS
167362,3 BATALHAO LOGISTICO,RS
160362,3 BATALHAO LOGISTICO/RS,RS
160486,3 CENTRO DE TELEMATICA DO EXERCITO,SP
167486,3 CENTRO DE TELEMATICA DO EXERCITO,SP
160516,3 CIA DO 33 BATALHAO DE INF.MOTORIZADA,PR
160092,3 CIRCUNSCRICAO DE SERVICO MILITAR/MEX/ES,ES
167526,3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO,RS
160526,3 COMPANHIA DE ENGENHARIA DE COMB.MECAN./RS,RS
160517,3 COMPANHIA DO 63 BATALHAO DE INFANTARIA,SC
167517,3 COMPANHIA DO 63 BATALHAO DE INFANTARIA,SC
167179,3 DIVISAO DE LEVANTAMENTO,PE
160179,3 DIVISAO DE LEVANTAMENTO,PE
167057,3 ESQUADRAO DE CAVALARIA MECANIZADO,DF
160057,3 ESQUADRAO DE CAVALARIA MECANIZADO-MEX/DF,DF
788010,3 ESQUADRAO DE HELICOPTEROS DE EMPREGO GERAL,AM
167369,3 GRUPO DE ARTILHARIA ANTIAEREA,RS
160369,3 GRUPO DE ARTILHARIA ANTIAEREA/RS,RS
167409,3 GRUPO DE ARTILHARIA DE CAMPANHA/AP,RS
160409,3 GRUPO DE ARTILHARIA DE CAMPANHA/AP/RS,RS
167387,3 INSPETORIA DE CONTABILIDADE E FINANCAS,RS
160542,3 INSPETORIA DE CONTABILIDADE E FINANCAS - RS,RS
160387,3 INSPETORIA DE CONTABILIDADE E FINANCAS/RS,RS
167388,3 REGIMENTO DE CAVALARIA DE GUARDA,RS
160388,3 REGIMENTO DE CAVALARIA DE GUARDA/RS,RS
167363,3 REGIMENTO DE CAVALARIA MECANIZADO,RS
160363,3 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS
795140,3.BATALHAO DE INFANTARIA DE FUZILEIROS NAVAIS,RJ
160521,3ª BATERIA DE ARTILHARIA ANTIAÉREA,MS
167521,3ª BATERIA DE ARTILHARIA ANTIAÉREA,MS
167137,3º BATALHAO DE INFANTARIA DE SELVA,AM
160137,3º BATALHÃO DE INFANTARIA DE SELVA,AM
926012,3º CENTRO REGIONAL DE SAÚDE,PA
78801,3º ESQUADRãO DE HELICÓPTEROS DE EMPREGO GERAL,AM
160207,3º REGIMENTO DE CARROS DE COMBATE,PR
167207,3ºREGIMENTO DE CARROS DE COMBATE,PR
167206,30 BATALHAO DE INFANTARIA MECANIZADO,PR
160206,30 BATALHAO DE INFANTARIA MECANIZADO,PR
167173,31 BATALHAO DE INFANTARIA MOTORIZADO,PB
167347,31 CIRCUNSCRICAO DE SERVICO MILITAR,RO
160347,31 CIRCUNSCRICAO DE SERVICO MILITAR/RO,RO
167277,31 GRUPO DE ARTILHARIA DE CAMPANHA (ES),RJ
160277,31 GRUPO DE ARTILHARIA DE CAMPANHA(ES)-RJ,RJ
167247,32 BATALHAO DE INFANTARIA MOTORIZADO,RJ
160247,32 BATALHAO DE INFANTARIA MOTORIZADO/RJ,RJ
167058,32 GRUPO DE ARTILHARIA DE CAMPANHA,DF
160058,32 GRUPO DE ARTILHARIA DE CAMPANHA-MEX/DF,DF
160208,33 BATALHAO DE INFANTARIA MECANIZADO,PR
167208,33 BATALHAO DE INFANTARIA MECANIZADO,PR
167226,34 BATALHAO DE INFANTARIA MECANIZADO,PR
160226,34 BATALHAO DE INFANTARIA MECANIZADO,PR
160028,35 BATALHAO DE INFANTARIA,BA
167028,35 BATALHAO DE INFANTARIA,BA
167130,36 BATALHAO DE INFANTARIA MECANIZADO,MG
160130,36 BATALHAO DE INFANTARIA MECANIZADO - MEX,MG
160471,37 BATALHAO DE INFANTARIA LEVE (37º BIL),SP
167471,37 BATALHAO DE INFANTARIA MOTORIZADA,SP
513910,37904 - GERENCIA EXECUTIVA PELOTAS,RS
167093,38 BATALHAO DE INFANTARIA,ES
160093,38 BATALHAO DE INFANTARIA/MEX/ES,ES
167474,39 BATALHAO DE INFANTARIA LEVE,SP
160144,3A.COMPANHIA DE FRONTEIRA E FORTE COIMBRA,MS
167144,3A.COMPANHIA DE FRONTEIRA E FORTE COIMBRA,MS
443416,3CMBIO- ESEC MATA PRETA - UGR,DF
167188,4 BATALHAO DE COMUNICACOES DO EXERCITO,PE
160188,4 BATALHAO DE COMUNICACOES DO EXERCITO,PE
160113,4 BATALHAO DE ENGENHARIA DE COMBATE,MG
167113,4 BATALHAO DE ENGENHARIA DE COMBATE,MG
167027,4 BATALHAO DE ENGENHARIA DE CONSTRUCAO,BA
160027,4 BATALHAO DE ENGENHARIA DE CONSTRUCAO - MEX,BA
160475,4 BATALHAO DE INFANTARIA BLINDADO,SP
167475,4 BATALHAO DE INFANTARIA BLINDADO,SP
167180,4 BATALHAO DE POLICIA DO EXERCITO,PE
160180,4 BATALHAO DE POLICIA DO EXERCITO,PE
167410,4 BATALHAO LOGISTICO,RS
160410,4 BATALHAO LOGISTICO EM SANTA MARIA/RS,RS
160485,4 CIRCUNSCRICAO DE SERVICO MILITAR,SP
167485,4 CIRCUNSCRICAO DE SERVICO MILITAR,SP
167109,4 COMPANHIA DE COMUNICACOES,MG
160109,4 COMPANHIA DE COMUNICACOES,MG
160034,4 COMPANHIA DE GUARDA,BA
167034,4 COMPANHIA DE GUARDA,BA
167150,4 COMPANHIA ENGENHARIA CMB MEC,MS
167011,4 DIVISAO DE LEVANTAMENTO,AM
160011,4 DIVISAO DE LEVANTAMENTO/MEX/AM,AM
160007,4 ESQUADRAO DE AVIACAO DO EXERCITO,AM
167007,4 ESQUADRAO DE AVIACAO DO EXERCITO,AM
167125,4 ESQUADRAO DE CAVALARIA MECANIZADO,MG
160125,4 ESQUADRAO DE CAVALARIA MECANIZADO,MG
160127,4 GRUPO DE ARTILHARIA ANTIAEREA,MG
167127,4 GRUPO DE ARTILHARIA ANTIAEREA,MG
167117,4 GRUPO DE ARTILHARIA DE CAMPANHA,MG
160117,4 GRUPO DE ARTILHARIA DE CAMPANHA,MG
160404,4 REGIMENTO DE CARROS DE COMBATE/RS,RS
167404,4 REGIMENTO DE CARRROS DE COMBATE,RS
167431,4 REGIMENTO DE CAVALARIA BLINDADO,RS
160431,4 REGIMENTO DE CAVALARIA BLINDADO/RS,RS
160002,4. BATALHAO DE INFANTARIA DE SELVA/MES/AC,AC
160120,4. DEPOSITO DE SUPRIMENTO,MG
167120,4. DEPOSITO DE SUPRIMENTO,MG
926777,4ª VARA DA COMARCA DE CAJAZEIRAS,PB
160474,4º BATALHãO DE INFANTARIA LEVE,SP
926050,4º CENTRO REGIONAL DE SAUDE/PA,PA
167041,40 BATALHAO DE INFANTARIA,CE
160041,40 BATALHAO DE INFANTARIA/MEX - CE,CE
167102,41 BATALHAO DE INFANTARIA MOTORIZADO,GO
160102,41 BATALHAO DE INFANTARIA MOTORIZADO-MEX/GO,GO
167097,42 BATALHAO DE INFANTARIA MOTORIZADO,GO
160097,42 BATALHAO DE INFANTARIA MOTORIZADO-MEX/GO,GO
195012,42A DE DESENV.DOS VALES DO S.FRANC E PARNAIBA,PI
167096,43 BATALHAO DE INFANTARIA MOTORIZADO,GO
160096,43 BATALHAO DE INFANTARIA MOTORIZADO-MEX/GO,GO
167156,44 BATALHAO DE INFANTARIA MOTORIZADO,MT
160156,44 BATALHAO DE INFANTARIA MOTORIZADO/MT,MT
167147,47 BATALHAO DE INFANTARIA,MS
160147,47 BATALHAO E INFANTARIA - MEX/MS,MS
160533,4A INSPETORIA CONTAB. E FINANCAS DO EXERCITO,MG
