;Abertura da Proposta;Edital;Endereço;Entrega da Proposta;Fax;Objeto;Telefone;preg_cod
10; em 23/03/2010 às 10:30Hs, no endereço: www.comprasnet.gov.br;08/03/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - 8º andar- Ala ´B´ - A - Cidade Nova - Rio de Janeiro (RJ); a partir de 08/03/2010 às 09:00Hs;(0xx21) 22735413      ;Objeto: Pregão Eletrônico -  Registro de preçospara Locação de 17(dezessete) módulos, devidam ente mobiliados com equipamentos de informática, climatização, material de consumo, conexão banda larga para o funcionamento em espaços públicos previamente designados pela Secretaria Especial de Ciência e Tecnologia, pelo prazo de 24(vinte e quatro)meses, distribuídos conforme cronograma de instalação que favoreçam a integração entre as comunidades e se constituam num instrumento para melhoria da qualidade de vida.;(0xx21) 25033660;112010
11; em 18/02/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;29/01/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 29/01/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de Sistema de Registro de Preços, para posterior aquisição de MEDICAMENTOS, objetivando suprir as necessidades de diversas Unidades de Atenção Básica ou Hospitalares da Rede da SMSDC.;(0xx21) 25032022;122010
12; em 19/02/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;01/02/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 01/02/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de registro de preços, para posterior aquisição de MEDICAMENTOS, objetivando suprir as necessidades de diversas Unidades de Atenção Basica ou Hospitalares da Rede da SMSDC.;(0xx21) 25032022;132010
13; em 03/03/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;12/02/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 12/02/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de geladeiras domésticas e congeladores horizontais.;(0xx21) 25032022;142010
14; em 18/03/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;26/02/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - Anexo I - 8º andar - - Cidade Nova - Rio de Janeiro (RJ); a partir de 26/02/2010 às 09:00Hs;(0xx21) 22735413      ;Objeto: Pregão Eletrônico -  Registro de Preçospara aquisição de Placa de Logradouros, consoante Termo de Referência, parte integrante deste Edital.;(0xx21) 25033660;152010
15; em 15/03/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;26/02/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 26/02/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de aparelhos condicionadores de ar, ventiladores de coluna e bebedouros de pressão.;(0xx21) 25032022;162010
16; em 15/03/2010 às 14:30Hs, no endereço: www.comprasnet.gov.br;26/02/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 26/02/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de arcondicionado e geladeira, com instalação.;(0xx21) 25032022;172010
17; em 03/05/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;16/04/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455, sala 852, - Cidade Nova - Rio de Janeiro (RJ); a partir de 16/04/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de Termômetros e caixas termicas.;(0xx21) 25032022;182010
18; em 18/05/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;05/05/2010 das 09:00 às 17:00 Hs ;Rua Afonso Cavalcanti, 455 sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 05/05/2010 às 09:00Hs;(0xx21) 25032052      ;OBJETO : PREGAO ELETRONICO   Elaboração de sistema de registro de preços para posterior aquisição de ração para alimentação de animais em guarda pelo Instituto Municipal de Medicina Veterinária Jorge Vaitsman(IJV) e Centro de Controle de Zoonoses, assim como para os animais utilizados pelo IJV, para realizações de diagnosticos de Zoonoses (Camundongos e Ovinos).;(0xx21) 25032022;192010
19; em 05/05/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;19/04/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 19/04/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de regsitro de preços para posterior fornecimento de produtos derivados de petróleo para diversas unidades da SMSDC.;(0xx21) 25032022;202010
20; em 14/05/2010 às 11:00Hs, no endereço: www.comprasnet.gov.br;03/05/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - Sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 03/05/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Elaboração de Sistema de Registro de Preços para posterior aquisição de Gel Lubrificante.;(0xx21) 25032022;212010
21; em 28/05/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;14/05/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852- bloco 1 do - Cidade Nova - Rio de Janeiro (RJ); a partir de 14/05/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Prestação de serviços de higiene hospitalar em diversas unidades de saúde da SMSDC, incluindo a execução de serviços de capinagem das areas internas das unidades de saúde especificadas no anexo III projeto básico.;(0xx21) 25032022;222010
22; em 14/06/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;27/05/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - 8º andar- Sala 852 do - Cidade Nova - Rio de Janeiro (RJ); a partir de 27/05/2010 às 09:00Hs;(0xx21) 25032052      ;Objeto: Pregão Eletrônico -  Aquisição de materiais laboratoriais.;(0xx21) 25032022;232010
23; em 05/07/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;21/06/2010 das 08:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 21/06/2010 às 08:00Hs;(0xx21) 22931570      ;Objeto: Pregão Eletrônico -  Prestação de serviços de avaliação pedagógica externa dos alunos da rede pública municipal de ensino do Rio de Janeiro;(0xx21) 29762120;242010
24; em 06/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;27/07/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 27/07/2010 às 09:00Hs;(0xx21) 29762096      ;OBJETO : PREGAO ELETRONICO   Prestação de serviços de recuperação e adequação de totens em unidades escolares da rede municipal de ensino;(0xx21) 29762120;252010
25; em 08/07/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;24/06/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afenso Cavalcanti, 455 sala 852 bloco 1 do CAS - Cidade Nova - Rio de Janeiro (RJ); a partir de 24/06/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Aquisição de sistema para purificação de àgua, com instalação e testagem, destinado a produção de medicamentos homeopáticos na farmacia do Hospital Municipal Raphael de Paula Souza.;(0xx21) 39711648;272010
26; em 14/07/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;30/06/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 30/06/2010 às 09:00Hs;(0xx21) 22931570      ;Objeto: Pregão Eletrônico -  Aquisição de Camiseta e calção de Basquete.;(0xx21) 29762120;282010
27; em 27/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;02/07/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 02/07/2010 às 09:00Hs;(0xx21) 22931570      ;Objeto: Pregão Eletrônico -  Aquisição de Equipamentos Eletroeletrônicos;(0xx21) 29762120;292010
28; em 28/07/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;09/07/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 09/07/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Elaboração de Sistema de Registro de Preços para posterior aquisição de materiais para campanhas de vacinação (saco plástico, papel higiênico, caixa térmica, caixa descartável, algodão, caneta esferográfica, cortador de papel, fita adesiva e sabão em pedra).;(0xx21) 29762022;302010
29; em 27/07/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;12/07/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852Bl-1 - Cidade Nova - Rio de Janeiro (RJ); a partir de 12/07/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Elaboração de Sistema de Registro de Preços, para posterior aquisição de medicamentos, objetivando suprir as necessidades de diversas Unidades de Atenção Básica ou Hospitalares da Rede da SMSDC.;(0xx21) 29762022;312010
30; em 10/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;27/07/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti nº 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 27/07/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de Serviços de Apoio Logìstico consistindo na Contagem, Empacotamento, Etiquetagem Transporte de Mat  erial Impresso.;(0xx21) 29762120;322010
31; em 19/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;06/08/2010 das 09:00 às 12:00 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 06/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Aquisição de camiseta,camisa e calça comprida;(0xx21) 29762120;332010
32; em 25/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;12/08/2010 das 09:00 às 12:00 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 12/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Preatacao de Servicos Médicos - Exames Oftalmologicos visando atender alunos da Rede Publica do Sistema Municipal de Ensino.;(0xx21) 29762120;352010
33; em 27/08/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;17/08/2010 das 09:00 às 17:00 Hs ;Rua Afonso Cavalcanti, 455 - sala 852 - Cidade Nova - Rio de Janeiro (RJ); a partir de 17/08/2010 às 09:00Hs;(0xx21) 22738495      ;OBJETO : PREGAO ELETRONICO   Elaboração de sistema de Registro de Preços, para posterior aquisição de medicamentos, objetivando suprir as necessidades de diversas Unidades de Atenção Básica ou Hospitalares da Rede da SMSDC.;(0xx21) 29762022;362010
34; em 26/08/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;16/08/2010 das 09:00 às 12:00 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 16/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de Serviços de Realização de Curso de Inglês, por intermédio da WEB.;(0xx21) 29762120;372010
35; em 01/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;18/08/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 18/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de serviços de Monitoramento Diário de Matérias Jornalísticas com Montagem de Clippig;(0xx21) 29762120;382010
36; em 03/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;20/08/2010 das 09:00 às 12:10 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 20/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Registro de Preços para a Aquisição de NOTEBOOK.;(0xx21) 29762120;392010
37; em 08/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;23/08/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti-455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 23/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestaçãoo de serviços de manutenção preventiva e corretiva de elevadores.;(0xx21) 29762120;402010
38; em 10/09/2010 às 15:00Hs, no endereço: www.comprasnet.gov.br;20/08/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852Bloco 1 - Cidade Nova - Rio de Janeiro (RJ); a partir de 20/08/2010 às 09:00Hs;(0xx21) 39711654      ;Objeto: Pregão Eletrônico -  Aquisição de equipamentos medicos hospitalares(esteira ergometrica, negatoscopio, suporte para soro, bancos giratorios, mesa para instrumental e sistema holter digital).;(0xx21) 29762022;412010
39; em 15/09/2010 às 13:00Hs, no endereço: www.comprasnet.gov.br;25/08/2010 das 10:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 1250 - Cidade Nova - Rio de Janeiro (RJ); a partir de 25/08/2010 às 10:00Hs;(0xx21) 29762830      ;Objeto: Pregão Eletrônico -  Aquisição de sacosplásticos para produção de mudas de espécies   arbóreas para atender os projetos de reflorestamento desenvolvidos pela Coordenadoria de Recu-peração ambiental da SMAC/PCRJ;(0xx21) 29762830;422010
40; em 13/09/2010 às 13:00Hs, no endereço: www.comprasnet.gov.br;25/08/2010 das 10:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 1250 - Cidade Nova - Rio de Janeiro (RJ); a partir de 25/08/2010 às 10:00Hs;(0xx21) 29762830      ;Objeto: Pregão Eletrônico -  Aquisição de Equi-pamentos de Proteção Individual para uso da    Coordenadoria de Recuperação Ambiental da Secretaria Municipal de Meio Ambiente/PCRJ, perten- centes as classes 8430;(0xx21) 29762830;432010
41; em 20/09/2010 às 13:00Hs, no endereço: www.comprasnet.gov.br;25/08/2010 das 10:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti 455 - sala 1250 - Cidade Nova - Rio de Janeiro (RJ); a partir de 25/08/2010 às 10:00Hs;(0xx21) 29762830      ;Objeto: Pregão Eletrônico -  Aquisição   de    NOBREAK incluindo Garantia Tecnica e Manutençãocorretira, conforme descritos, caracterizados eespecificados no Temo de Referência - ANEXO I;(0xx21) 29762830;442010
42; em 21/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;26/08/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 26/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de Serviços de Coffe Break.;(0xx21) 29762120;452010
43; em 13/09/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;26/08/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - sala 852Bloco 1 do CA - Cidade Nova - Rio de Janeiro (RJ); a partir de 26/08/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de Registro de Preços para posterior aquisição de material medico cirurgico(fita cirurgica, lânima de bisturi, sonda uretral, absorvente neurocirúrgico, dispositivo descartável para circuncisão, luva bidestra, compressa de gase, capa para microscópio cirúrgico, cera de osso e coletor de urina).;(0xx21) 29762022;472010
44; em 15/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;27/08/2010 das 09:00 às 12:10 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 27/08/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Registro de Preçospara aquisição de NETBOOK.;(0xx21) 29762120;482010
45; em 16/09/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;02/09/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455, sala 852, Bloco 1 do C - Cidade Nova - Rio de Janeiro (RJ); a partir de 02/09/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Aquisição de 7(sete) sistemas de ar condicionado tipo split, incluindo serviço de instalação, mão de obra e montagem, testes e regulagem do sistema, com capacidade térmica aproximada de 36.000BTUs.;(0xx21) 29762022;492010
46; em 05/10/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;03/09/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455, sala 852, Bloco 1 do C - Cidade Nova - Rio de Janeiro (RJ); a partir de 03/09/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de registro de preços para posterior aquisição de antisépticos saneantes e outros objetivando suprir as necessidades de diversas unidades se saúde da SMSDC.;(0xx21) 29762022;502010
47; em 22/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;09/09/2010 das 09:00 às 12:00 Hs e das 12:05 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 09/09/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Registro de Preçospara a Prestação de Serviços Médicos -Exames O ftalmologicos visando atender alunos da rede pública do Sistema Municipal de Ensino.;(0xx21) 29762120;512010
48; em 23/09/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;10/09/2010 das 08:00 às 12:00 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 10/09/2010 às 08:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de Serviços de Licença de Uso de Software.;(0xx21) 29762120;522010
49; em 21/10/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;06/10/2010 das 09:00 às 12:00 Hs e das 12:15 às 17:00 Hs;Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 06/10/2010 às 09:00Hs;(0xx21) 29762096      ;OBJETO : PREGAO ELETRONICO   Aquisiçaõ de Elevador de Cadeira de Rodas.;(0xx21) 29762120;532010
50; em 01/10/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;21/09/2010 das 09:00 às 12:00 Hs e das 12:15 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 21/09/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Aquisição de Televsão;(0xx21) 29762120;542010
51; em 24/09/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;13/09/2010 das 09:00 às 17:00 Hs ;ENDEREÇO: Rua Afonso Cavalcanti, 455 - Sala 852, Bloco I do - Cidade Nova - Rio de Janeiro (RJ); a partir de 13/09/2010 às 09:00Hs;(0xx21) 22738495      ;Objeto: Pregão Eletrônico -  Elaboração de sistema de Registro de Preços para posterior aquisição de equipos para bomba infusora com cessão de equipamento, comforme plano de distribuição anexo VI do Edital.;(0xx21) 29762022;552010
52; em 03/11/2010 às 10:00Hs, no endereço: www.comprasnet.gov.br;15/10/2010 das 09:00 às 17:00 Hs ;Rua Afonso Cavalcanti, 455 - sala 852- Bloco I do - Cidade Nova - Rio de Janeiro (RJ); a partir de 15/10/2010 às 09:00Hs;(0xx21) 22738495      ;OBJETO : PREGAO ELETRONICO   Aquisição de equipamentos odontológicos (cortador de gesso, vibrador de gesso, torno elétrico, articulador, eletroestimulador, motor elétrico, prancha longa para resgate e imobilizador lateral de cabeça).;(0xx21) 29762022;562010
53; em 04/10/2010 às 13:00Hs, no endereço: www.comprasnet.gov.br;21/09/2010 das 09:00 às 12:00 Hs e das 12:05 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti, 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 21/09/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Prestação de Serviço de Locação de ônibus para Transporte Turístico;(0xx21) 29762120;572010
54; em 04/10/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;21/09/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti 455 sala 455 - Cidade Nova - Rio de Janeiro (RJ); a partir de 21/09/2010 às 09:00Hs;(0xx21)               ;Objeto: Pregão Eletrônico -  Aquisição de Camisetas para o Projeto Viradão.;(0xx21) 29762120;582010
55; em 05/10/2010 às 14:00Hs, no endereço: www.comprasnet.gov.br;22/09/2010 das 09:00 às 12:00 Hs e das 12:10 às 17:00 Hs;ENDEREÇO: Rua Afonso Cavalcanti, nº 455 - sala 455 - Cidade Nova - Rio de Janeiro - Rio de Janeiro (RJ); a partir de 22/09/2010 às 09:00Hs;(0xx21) 29762096      ;Objeto: Pregão Eletrônico -  Aquisição de material esportivo.;(0xx21) 29762120;592010
